,model_number,name,manufacturer,cores,tdp,base_frequency,socket,memory_type,ecc_Compatability,architecture,wattage,clock
63,11286,AMD Ryzen 7 4980U Microsoft Surface Edition,amd,8,15,2000,FP6,LPDDR4,FALSE,x64,15,7
64,8476,AMD Ryzen 5 3400G with Radeon RX Vega 11 Graphics,amd,4,65,3700,AM4,DDR4,FALSE,x64,65,12
65,11291,AMD Ryzen 5 4680U Microsoft Surface Edition,amd,6,15,2200,FP6,LPDDR4,FALSE,x64,15,7
66,8991,AMD Ryzen 5 3400GE (OEM Only),amd,4,35,3300,AM4,,FALSE,x64,35,12
67,8921,AMD Ryzen 7 3780U Microsoft Surface Edition,amd,4,15,2300,FP5,,FALSE,x64,15,12
68,8481,AMD Ryzen 3 3200G with Radeon Vega 8 Graphics,amd,4,65,3600,AM4,DDR4,FALSE,x64,65,12
69,8996,AMD Ryzen 3 3200GE (OEM Only),amd,4,35,3300,AM4,,FALSE,x64,35,12
70,10136,AMD Athlon 320GE,amd,2,35,3500,AM4,DDR4,FALSE,x64,35,14
71,8986,AMD Athlon 300GE,amd,2,35,3400,AM4,,FALSE,x64,35,14
72,8371,AMD Ryzen 7 3750H,amd,4,35,2300,FP5,,FALSE,x64,35,12
73,8376,AMD Ryzen 5 3550H,amd,4,35,2100,FP5,,FALSE,x64,35,12
74,8336,AMD Ryzen 7 3700U,amd,4,15,2300,FP5,DDR4,FALSE,x64,15,12
75,8341,AMD Ryzen 5 3500U,amd,4,15,2100,FP5,,FALSE,x64,15,12
76,10876,AMD Ryzen 3 3350U,amd,4,15,2100,FP5,,FALSE,x64,15,12
77,10531,AMD Ryzen 5 3450U,amd,4,15,2100,FP5,,FALSE,x64,15,12
78,8346,AMD Ryzen 3 3300U,amd,4,15,2100,FP5,,FALSE,x64,15,12
79,8916,AMD Ryzen 5 3580U Microsoft Surface Edition,amd,4,15,2100,FP5,,FALSE,x64,15,12
80,10481,AMD Ryzen 7 3700C,amd,4,15,2300,FP5,,FALSE,x64,15,12
81,8351,AMD Ryzen 3 3200U,amd,2,15,2600,FP5,,FALSE,x64,15,14
82,10486,AMD Ryzen 5 3500C,amd,4,15,2100,FP5,,FALSE,x64,15,12
83,9061,AMD Athlon Gold 3150U,amd,2,15,2400,FP5,DDR4,FALSE,x64,15,14
84,9066,AMD Ryzen 3 3250C,amd,2,15,2600,FP5,,FALSE,x64,15,14
85,8356,AMD Athlon 300U,amd,2,15,2400,FP5,,FALSE,x64,15,14
86,9056,AMD Athlon Silver 3050U,amd,2,15,2300,FP5,DDR4,FALSE,x64,15,14
87,9896,AMD Athlon Silver 3050e,amd,2,6,1400,,DDR4,FALSE,x64,6,14
88,9076,AMD Athlon Gold 3150C,amd,2,15,2400,FP5,,FALSE,x64,15,14
89,9071,AMD Athlon  Silver 3050C,amd,2,15,2300,FP5,,FALSE,x64,15,14
90,10231,AMD Athlon Gold 3150GE (OEM Only),amd,4,35,3300,AM4,DDR4,FALSE,x64,35,12
91,9901,AMD 3020e,amd,2,6,1200,,DDR4,FALSE,x64,6,14
92,10226,AMD Athlon Gold 3150G (OEM Only),amd,4,65,3500,AM4,DDR4,FALSE,x64,65,12
93,10166,AMD 3015e,amd,2,6,1200,FT5,DDR4,FALSE,x64,6,14
94,10236,AMD Athlon Silver 3050GE (OEM Only),amd,2,35,3400,AM4,DDR4,FALSE,x64,35,14
95,11201,AMD 3015Ce,amd,2,6,1200,FT5,DDR4,FALSE,x64,6,14
96,7921,AMD Ryzen Threadripper 2990WX,amd,32,250,3000,sTR4,DDR4,TRUE,x86,250,12
97,7936,AMD Ryzen Threadripper 2970WX,amd,24,250,3000,sTR4,DDR4,TRUE,x86,250,12
98,7926,AMD Ryzen Threadripper 2950X,amd,16,180,3500,sTR4,DDR4,TRUE,x86,180,12
99,7941,AMD Ryzen Threadripper 2920X,amd,12,180,3500,sTR4,DDR4,TRUE,xarm,180,12
100,7656,AMD Ryzen 7 2700X,amd,8,105,3700,AM4,DDR4,FALSE,x64,105,12
101,7661,AMD Ryzen 7 2700,amd,8,65,3200,AM4,DDR4,FALSE,x64,65,12
102,8266,AMD Ryzen 7 2700E Processor,amd,8,45,2800,AM4,DDR4,FALSE,x64,45,12
103,7671,AMD Ryzen 5 2600X,amd,6,95,3600,AM4,DDR4,FALSE,x64,95,12
104,7666,AMD Ryzen 5 2600,amd,6,65,3400,AM4,DDR4,FALSE,x64,65,12
105,8261,AMD Ryzen 5 2600E,amd,6,45,3100,AM4,DDR4,FALSE,x64,45,12
106,8216,AMD Ryzen 5 2500X,amd,4,65,3600,AM4,DDR4,FALSE,x64,65,12
107,7221,AMD Ryzen 5 2400G with Radeon RX Vega 11 Graphics,amd,4,65,3600,AM4,DDR4,FALSE,x64,65,14
